"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting","Post engagements"
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_Awareness_Photo_Album_02_04Aug2025,completed,766649,reach,52.17443706,"Using ad set budget",0,39999.48,1013044,766649,2025-08-07,"7-day click or 1-day view",2079
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Thalavila_Feast_GEO_Awareness_Photo_Album_02_04Aug2025,completed,386965,reach,51.67524195,20000,Lifetime,19996.51,510142,386965,2025-08-07,"7-day click or 1-day view",3540
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Video_05Aug2025,inactive,2746730,reach,75.60252009,250000,Lifetime,207659.71,3803186,2746730,2025-08-07,"7-day click or 1-day view",339984
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Carousel_06Aug2025,inactive,2268382,reach,61.57362825,200000,Lifetime,139672.51,2497874,2268382,2025-08-07,"7-day click or 1-day view",1299
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_PhotoAlbum_01_07Aug2025,completed,4577674,reach,76.44217784,350000,Lifetime,349927.37,8081009,4577674,2025-08-24,"7-day click or 1-day view",58024
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Engagement_PhotoAlbum_01_07Aug2025,completed,106091,actions:post_engagement,0.94181882,100000,Lifetime,99918.5,843576,608855,2025-08-24,"7-day click or 1-day view",106091
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_Video_01_08Aug2025,completed,4263867,reach,93.79457661,400000,Lifetime,399927.6,8420755,4263867,2025-08-24,"7-day click or 1-day view",1258287
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_15Sec_Video_03_08Aug2025,completed,2677404,reach,93.35370755,250000,Lifetime,249945.59,5084588,2677404,2025-08-24,"7-day click or 1-day view",1037591
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_IG_15Sec_Video_03_08Aug2025,completed,986613,reach,101.33743423,100000,Lifetime,99980.83,1732772,986613,2025-08-24,"7-day click or 1-day view",295003
2023-03-08,2026-04-08,CBL_Tiara_Rasa_Hara_Yathra_Kandy_Perahera_Awareness_PhotoAlbum_02_08Aug2025,completed,6221680,reach,56.25418536,350000,Lifetime,349995.54,6490947,6221680,2025-08-24,"7-day click or 1-day view",81135
