"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1711,actions:post_engagement,8.76680304,15000,Lifetime,15000,78093,46787,2023-04-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 3"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1778,actions:post_engagement,8.43644544,15000,Lifetime,15000,89788,50232,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 4"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,668,actions:offsite_conversion.fb_pixel_view_content,14.97005988,10000,Lifetime,10000,121639,79764,2023-04-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 1"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,694,actions:offsite_conversion.fb_pixel_view_content,14.4092219,10000,Lifetime,10000,150085,107008,2023-04-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 2"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,695,actions:offsite_conversion.fb_pixel_view_content,14.38848921,10000,Lifetime,10000,146050,105160,2023-04-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 3"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,720,actions:offsite_conversion.fb_pixel_view_content,13.88888889,10000,Lifetime,10000,127474,90104,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 4"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,962,actions:offsite_conversion.fb_pixel_view_content,10.3950104,10000,Lifetime,10000,110917,73189,2023-04-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 1"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,635,actions:offsite_conversion.fb_pixel_view_content,15.7480315,10000,Lifetime,10000,148500,102115,2023-04-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 2"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,872,actions:offsite_conversion.fb_pixel_view_content,11.46788991,10000,Lifetime,10000,132315,90586,2023-04-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 3"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,727,actions:offsite_conversion.fb_pixel_view_content,13.75515818,10000,Lifetime,10000,126763,92801,2023-04-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Week 4"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,7863,actions:post_engagement,3.81533766,30000,Lifetime,30000,515202,122113,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2468,actions:offsite_conversion.fb_pixel_view_content,6.07779579,15000,Lifetime,15000,165063,67369,2023-04-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,,,,20000,Lifetime,0,0,0,2023-04-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,6th
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,3387,actions:post_engagement,5.90493062,20000,Lifetime,20000,160503,80955,2023-04-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1181,actions:offsite_conversion.fb_pixel_view_content,15.24132091,18000,Lifetime,18000,213140,146706,2023-04-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,7th
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1173,actions:offsite_conversion.fb_pixel_view_content,15.34526854,18000,Lifetime,18000,173431,111968,2023-04-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,28th
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2271,actions:post_engagement,8.80669309,20000,Lifetime,20000,87355,53264,2023-04-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,8th
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1296,actions:offsite_conversion.fb_pixel_view_content,13.88888889,18000,Lifetime,18000,200600,136758,2023-04-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1364,actions:offsite_conversion.fb_pixel_view_content,14.6627566,20000,Lifetime,20000,142248,94035,2023-04-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,13th
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,3135,actions:offsite_conversion.fb_pixel_view_content,6.37958533,20000,Lifetime,20000,178410,111356,2023-04-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,20th
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1100,actions:offsite_conversion.fb_pixel_view_content,13.97868182,20000,Lifetime,15376.55,93411,58162,2023-04-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,27th
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2872,actions:post_engagement,6.9637883,20000,Lifetime,20000,86023,47148,2023-04-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,867,actions:offsite_conversion.fb_pixel_view_content,17.30103806,15000,Lifetime,15000,174285,114471,2023-04-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2384,actions:post_engagement,12.58389262,30000,Lifetime,30000,158317,105345,2023-04-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1878,actions:offsite_conversion.fb_pixel_view_content,13.31203408,25000,Lifetime,25000,262442,76643,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,1826,actions:offsite_conversion.fb_pixel_view_content,13.69112815,25000,Lifetime,25000,301131,148113,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
2023-03-08,2026-04-08,"New Engagement ad",not_delivering,2138,actions:offsite_conversion.fb_pixel_view_content,11.69317119,25000,Lifetime,25000,257764,116669,2023-04-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"New Engagement ad set"
