"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Views,"Post engagements","Link clicks",Starts
2023-04-11,2026-04-09,CBL_Tiara_GoChok_Launch_T_TVC_Engagement_01Sep2025,completed,108695,actions:post_engagement,0.27598749,30000,Lifetime,29998.46,253859,122720,2025-10-14,299964,108695,8,2025-09-01
2023-04-11,2026-04-09,"JM | Rollo | TVC | Awareness | Oct 2025",completed,1040657,video_thruplay_watched_actions,0.63421473,"Using ad set budget",0,660000,3879122,785544,2025-11-13,5056227,1576832,425,2025-10-13
2023-04-11,2026-04-09,"JM | Rollo | TVC |  Engagements | Oct 2025",completed,371347,actions:post_engagement,0.24234737,"Using ad set budget",0,89994.97,911041,418798,2025-11-13,1066852,371347,40,2025-10-13
2023-04-11,2026-04-09,"JM | TIARA | TVC | ThruPlays | Oct 2025",not_delivering,2473443,video_thruplay_watched_actions,0.26682913,"Using ad set budget",0,659986.64,5632358,1928134,2025-11-16,6468732,3023934,74,2025-10-16
2023-04-11,2026-04-09,"JM | TIARA | TVC | Engagement | Oct 2025",not_delivering,501823,actions:post_engagement,0.17933742,"Using ad set budget",0,89995.64,1257271,701587,2025-11-16,1429750,501823,33,2025-10-16
2023-04-11,2026-04-09,"JM | Tiara | Engagement | Retainer",not_delivering,56995,actions:post_engagement,3.06109185,"Using ad set budget",0,174466.93,548900,177876,2026-04-02,551350,56995,557,2025-10-21
2023-04-11,2026-04-09,"JM | Tiara | ThruPlays | Retainer",not_delivering,376034,video_thruplay_watched_actions,0.4768997,"Using ad set budget",0,179330.5,1068143,674365,2026-01-30,1051065,536864,22,2025-10-28
2023-04-11,2026-04-09,"JM | Tiara | ThruPlays | Ah - Ha",completed,1775993,video_thruplay_watched_actions,0.52644935,"Using ad set budget",0,934970.36,5445080,2122869,2026-02-26,5514172,2953466,103,2025-11-26
2023-04-11,2026-04-09,"JM | Tiara | Engagement | Ah - Ha",completed,1001483,actions:post_engagement,0.26458287,"Using ad set budget",0,264975.25,2057686,967192,2026-03-31,2252531,1001483,191,2025-11-26
2023-04-11,2026-04-09,"JM | Tiara | ThruPlays | Rasahara Suwa Suraksha",completed,1413282,video_thruplay_watched_actions,0.74292487,"Using ad set budget",0,1049962.35,5889102,2004425,2025-12-31,5811737,3570621,51587,2025-12-12
2023-04-11,2026-04-09,"JM | Tiara | Engagement  | Rasahara Suwa Suraksha",completed,1052878,actions:post_engagement,0.18995272,"Using ad set budget",0,199997.04,1734024,849255,2025-12-31,1786550,1052878,10887,2025-12-12
2023-04-11,2026-04-09,"JM | Tiara | Engagement | Christmas Recipes",completed,518927,actions:post_engagement,0.48172899,"Using ad set budget",0,249982.18,1918565,777196,2025-12-31,2037833,518927,6707,2025-12-22
2023-04-11,2026-04-09,"JM | Tiara | ThruPlays | Christmas Recipes",completed,1125276,video_thruplay_watched_actions,0.66650315,"Using ad set budget",0,750000,1995999,802848,2025-12-31,1989278,1375805,12393,2025-12-22
2023-04-11,2026-04-09,"JM | Tiara | Reach | SLNQA",completed,491684,reach,61.01479812,"Using ad set budget",0,30000,701511,491684,2026-01-31,706098,1107,6,2026-01-22
2023-04-11,2026-04-09,"JM | Tiara | Engagement | SLNQA",completed,15573,actions:post_engagement,1.28427406,"Using ad set budget",0,20000,226227,155170,2026-01-31,227726,15573,53,2026-01-22
2023-04-11,2026-04-09,"JM | Tiara | Aurudu Campaign | R&F TVC Video cuts",active,2385658,reach,111.83335583,"Using ad set budget",0,266796.14,3767781,2385658,2026-04-30,3176986,206126,1628,2026-04-05
2023-04-11,2026-04-09,"JM | Tiara | Aurudu Campaign | TrueViews | TVC Main",active,408344,video_thruplay_watched_actions,0.82167949,"Using ad set budget",0,335527.89,927866,891442,2026-04-30,913822,587774,1344,2026-04-04
2023-04-11,2026-04-09,"JM | Tiara | Aurudu Campaign | Reach | Trailer",active,415626,reach,56.02190431,"Using ad set budget",0,23284.16,453664,415626,2026-04-10,379543,13653,23,2026-04-07
