"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2023-03-08,2026-04-08,"New Engagement ad set",completed,1296,actions:offsite_conversion.fb_pixel_view_content,13.88888889,18000,Lifetime,18000,200600,136758,2023-04-10,2023-04-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2872,actions:post_engagement,6.9637883,20000,Lifetime,20000,86023,47148,2023-04-12,2023-04-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,867,actions:offsite_conversion.fb_pixel_view_content,17.30103806,15000,Lifetime,15000,174285,114471,2023-04-13,2023-04-12,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2384,actions:post_engagement,12.58389262,30000,Lifetime,30000,158317,105345,2023-04-22,2023-04-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1878,actions:offsite_conversion.fb_pixel_view_content,13.31203408,25000,Lifetime,25000,262442,76643,2023-04-30,2023-04-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1826,actions:offsite_conversion.fb_pixel_view_content,13.69112815,25000,Lifetime,25000,301131,148113,2023-04-30,2023-04-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2138,actions:offsite_conversion.fb_pixel_view_content,11.69317119,25000,Lifetime,25000,257764,116669,2023-04-30,2023-04-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2073,actions:offsite_conversion.fb_pixel_view_content,12.05981669,25000,Lifetime,25000,246933,114953,2023-04-30,2023-04-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2336,actions:offsite_conversion.fb_pixel_view_content,10.70205479,25000,Lifetime,25000,281307,141816,2023-04-30,2023-04-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2063,actions:offsite_conversion.fb_pixel_view_content,12.11827436,25000,Lifetime,25000,279080,114637,2023-04-30,2023-04-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1934,actions:offsite_conversion.fb_pixel_view_content,12.92652534,25000,Lifetime,24999.9,254886,68980,2023-04-30,2023-04-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,484629,actions:post_engagement,0.1031717,50000,Lifetime,50000,1003268,421554,2023-05-26,2023-04-26,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,9710,actions:offsite_conversion.fb_pixel_view_content,7.72399588,75000,Lifetime,75000,1150006,342282,2023-05-31,2023-05-02,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 2",completed,1454,actions:offsite_conversion.fb_pixel_view_content,10.31636864,15000,Lifetime,15000,197687,111495,2023-05-08,2023-05-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 3",completed,947,actions:offsite_conversion.fb_pixel_view_content,15.83949314,15000,Lifetime,15000,217050,158130,2023-05-15,2023-05-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 4",completed,1233,actions:offsite_conversion.fb_pixel_view_content,12.16545012,15000,Lifetime,15000,200033,142027,2023-05-22,2023-05-21,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"Week 5",completed,1000,actions:offsite_conversion.fb_pixel_view_content,15,15000,Lifetime,15000,187922,136765,2023-05-29,2023-05-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,3928,actions:offsite_conversion.fb_pixel_view_content,7.63747454,30000,Lifetime,30000,355336,182088,2023-05-04,2023-05-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1373,actions:post_engagement,10.92498179,15000,Lifetime,15000,136013,82086,2023-05-06,2023-05-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1622,actions:post_engagement,9.24784217,15000,Lifetime,15000,113213,74881,2023-05-06,2023-05-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
