"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,"Attribution setting"
2023-03-08,2026-04-08,"Mega Pola | Link Clicks | August 2024",completed,1840,actions:omni_landing_page_view,8.15217391,"Using ad set budget",0,15000,177632,39021,2024-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"GLO Saturday | Awareness | August 2024",completed,32780,video_thruplay_watched_actions,0.4575961,"Using ad set budget",0,15000,34360,10340,2024-09-07,"7-day click or 1-day view"
2023-03-08,2026-04-08,"Com Bank | Fresh - Week 4 | Awareness | August 2024",completed,214164,reach,42.02386956,"Using ad set budget",0,9000,214164,214164,2024-08-28,"7-day click or 1-day view"
2023-03-08,2026-04-08,"October Awareness Ads | 2024",not_delivering,1921058,reach,178.61384716,"Using ad set budget",0,343127.56,9909291,1921058,2024-11-09,"7-day click or 1-day view"
2023-03-08,2026-04-08,"November Awareness Ads | 2024",not_delivering,2915778,reach,155.63614582,"Using ad set budget",0,453800.45,11521197,2915778,2024-12-21,"7-day click or 1-day view"
2023-03-08,2026-04-08,"EBF & Black Friday | Awareness | November | 2024",completed,3072403,reach,84.622281,"Using ad set budget",0,259993.75,5511158,3072403,2024-12-01,"7-day click or 1-day view"
2023-03-08,2026-04-08,"EBF | Conversion | November | 2024",completed,172,actions:offsite_conversion.fb_pixel_purchase,1018.35436047,"Using ad set budget",0,175156.95,590987,187271,2024-11-27,"7-day click or 1-day view"
2023-03-08,2026-04-08,"January Awareness Ads | 2025",completed,2105196,reach,124.71242108,"Using ad set budget",0,262544.09,7929244,2105196,2025-02-02,"7-day click or 1-day view"
2023-03-08,2026-04-08,"January Engagement Ads | 2025",completed,1053,actions:post_engagement,2.56208927,"Using ad set budget",0,2697.88,7344,5228,2025-01-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"August Bank Promo - 22 to 31 | Awareness | August | 2025",completed,469142,reach,70.34117602,33000,Lifetime,33000,826678,469142,2025-08-30,"7-day click or 1-day view"
2023-03-08,2026-04-08,"August Lead Ads | 2025",completed,455,actions:click_to_call_native_call_placed,32.96703297,"Using ad set budget",0,15000,68917,34148,2025-08-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"JM | TVC Cut | Trueplays | 13th Dec",not_delivering,1252226,video_thruplay_watched_actions,0.79842533,"Using ad set budget",0,999808.96,2123790,1216961,2026-01-14,"7-day click or 1-day view"
2023-03-08,2026-04-08,"JM | ගෙට Better Life Campaign | Engagement",completed,17278,actions:post_engagement,3.47259637,"Using ad set budget",0,59999.52,175693,67132,2026-01-31,"7-day click or 1-day view"
2023-03-08,2026-04-08,"January - Bank Promo [08/01]",completed,63,actions:offsite_conversion.fb_pixel_purchase,79.32587302,"Using ad set budget",0,4997.53,24199,13438,2026-01-09,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"January - Better Pongal 2026 [14/01]",completed,38,actions:offsite_conversion.fb_pixel_purchase,515.58578947,"Using ad set budget",0,19592.26,82762,32141,2026-01-15,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"February - Glo Tuesday",completed,133,actions:offsite_conversion.fb_pixel_purchase,384.23172932,"Using ad set budget",0,51102.82,179185,40273,2026-02-24,"7-day click, 1-day view or 1-day engaged view"
2023-03-08,2026-04-08,"JM | ගෙට Better Life Campaign | Tamil Assets | Feb 16 | 2026",completed,,,,"Using ad set budget",0,299851.13,2588245,689817,2026-02-28,"7-day click or 1-day view"
