"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit","Post engagements"
2023-04-11,2026-04-08,"Rollo Movie Tickets Giveaway - FB",inactive,10227,actions:post_engagement,5.29870637,60000,Lifetime,54189.87,160747,71776,2024-10-15,2024-10-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-15T09:51:17+0530,10227
2023-04-11,2026-04-08,"Rollo Movie Tickets Giveaway - IG",inactive,7357,actions:post_engagement,5.43625663,40000,Lifetime,39994.54,73009,33801,2024-10-15,2024-10-09,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-15T09:52:47+0530,7357
2023-04-11,2026-04-08,"Aug -  Cakery 4 - FB",inactive,166667,reach,29.99994,5000,Lifetime,5000,169824,166667,2024-10-13,2024-10-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-11T11:33:33+0530,15987
2023-04-11,2026-04-08,"Aug -  Cakery 4 - IG",inactive,115220,reach,43.39498351,5000,Lifetime,4999.97,118811,115220,2024-10-13,2024-10-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,6619
2023-04-11,2026-04-08,"Tiara - Sep - Cakery 05 - FB",inactive,171280,reach,29.19196637,5000,Lifetime,5000,175482,171280,2024-10-13,2024-10-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,23969
2023-04-11,2026-04-08,"Tiara - Sep - Cakery 05 - IG",inactive,113759,reach,43.95256639,5000,Lifetime,5000,114997,113759,2024-10-13,2024-10-11,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,5985
2023-04-11,2026-04-08,"Sep - Moment 4 - FB",inactive,150189,reach,33.29138619,5000,Lifetime,5000,158446,150189,2024-10-16,2024-10-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-14T17:13:24+0530,96
2023-04-11,2026-04-08,"July - Product 4 - FB",inactive,937,actions:post_engagement,4.00213447,3750,Lifetime,3750,8549,6683,2024-10-18,2024-10-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-10-16T17:31:19+0530,937
2023-04-11,2026-04-08,"July - Product 4 - IG",inactive,846,actions:post_engagement,4.42890071,3750,Lifetime,3746.85,5531,4550,2024-10-18,2024-10-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,846
2023-04-11,2026-04-08,"Aug - Product 04 - FB",inactive,151500,reach,33.00330033,5000,Lifetime,5000,152349,151500,2024-11-09,2024-11-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-11-07T10:41:34+0530,131
2023-04-11,2026-04-08,"Aug - Product 04 - IG",inactive,117742,reach,42.46573016,5000,Lifetime,5000,121439,117742,2024-11-09,2024-11-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,60
2023-04-11,2026-04-08,"Oct - Moment 02 - FB",inactive,127850,reach,39.10833007,5000,Lifetime,5000,134365,127850,2024-11-10,2024-11-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,99
2023-04-11,2026-04-08,"Oct - Moment 02 - IG",inactive,95540,reach,52.3341009,5000,Lifetime,5000,113049,95540,2024-11-26,2024-11-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-11-20T10:53:08+0530,37
2023-04-11,2026-04-08,"Nov - post 3 - FB",inactive,1271,actions:post_engagement,3.93391031,5000,Lifetime,5000,19721,17363,2024-11-14,2024-11-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-11-13T18:45:07+0530,1271
2023-04-11,2026-04-08,"Nov - post 3 - IG",inactive,923,actions:post_engagement,5.41460455,5000,Lifetime,4997.68,10308,9053,2024-11-14,2024-11-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,923
2023-04-11,2026-04-08,"Christmas influencer giveaway - FB",inactive,464499,actions:post_engagement,0.32292857,150000,Lifetime,150000,1582271,686747,2024-12-29,2024-12-18,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2024-12-25T11:55:50+0530,464499
